pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde4,20,768,16,64,681887,1000,0.02427643635912085,0.02380394311483455,6299.941631793976,42
pde4,21,512,64,96,424527,1000,0.00945623520284698,0.009126602388581472,4949.169075965881,42
pde4,22,128,32,48,110767,1000,0.015326421293564539,0.014422797644135961,3466.498736858368,42
pde4,23,256,64,80,208719,1000,0.0046750120670591006,0.004401164613981359,3892.114982843399,42
pde4,24,512,32,80,372015,1000,0.005070686058031919,0.004986381730196285,4269.973500013351,42
pde4,25,128,32,128,115887,1000,0.007696177755897558,0.007313377638506942,3000.9004464149475,42
pde4,26,512,16,64,349343,1000,0.02027662027209647,0.019072838374367553,4663.842650175095,42
pde4,27,512,32,32,368943,1000,0.012119135035537007,0.010751137979785094,4906.002405405045,42
pde4,28,512,32,128,375087,1000,0.008986910887562682,0.008372839694598736,4460.974502325058,42
pde4,29,128,32,16,108719,1000,0.009152764899792592,0.009020928097567294,2918.592714548111,42
pde4,30,768,64,96,769359,1000,0.005934050382964159,0.005727605997843151,6610.368795633316,42
pde4,31,128,16,112,97823,1000,0.02668118673636793,0.026348154037609522,2676.108943462372,42
pde4,32,256,16,64,147871,1000,0.01842695418030147,0.01758123699618065,3641.7193474769592,42
pde4,33,512,128,32,535695,1000,0.006635720321665588,0.006344167197207127,5148.64799785614,42
pde4,34,512,64,112,426575,1000,0.006384725202625455,0.006169152423772256,5231.008991718292,42
pde4,35,128,16,48,95775,1000,0.02317945980605058,0.022307915099628296,3125.691682577133,42
pde4,36,128,32,64,111791,1000,0.012468699980117173,0.011822742694754671,3272.2899672985077,42
pde4,37,128,128,128,264207,1000,0.003824874841904592,0.0036144435643980437,4286.962246417999,42
pde4,38,128,16,96,97311,1000,0.015232985064391417,0.014841619180072764,2677.2774560451508,42
pde4,39,768,32,80,708655,1000,0.005747348063776183,0.0055026275500575225,6327.208226680756,42
pde4,40,512,32,16,367919,1000,0.03568550111695535,0.034077007898651965,4716.534188985825,42
pde4,41,768,64,48,763215,1000,0.006602655464847368,0.006297134508857752,7164.873012781143,42
pde4,42,512,32,112,374063,1000,0.01094705004987331,0.010739160247242745,4818.2136924266815,42
pde4,43,256,128,112,326031,1000,0.003604674938514285,0.0035305960376677305,4540.733561515808,42
pde4,44,128,128,64,247823,1000,0.006348667003183633,0.006067796005274746,4322.459745883942,42
